registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4waiops/archiving-service,"",sha256:0378522b994894cedfff95c4ea595260c3b2653333befb1c73fb7ed6e127a69b,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/archiving-service,"",sha256:655a34715d83f8457e478c7083df549ae993fb74b6f591ba4cc247e419132bf1,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/common-datarouting,"",sha256:e62d38a8ac303ef268fad84ceb83ccfb0bbc1bcd5f28dad488568b0febd64916,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/common-datarouting,"",sha256:e79915e0d6b0c447f4fa34a1d076bf18c0a04481bd2bdc45238eecf888ee857b,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/couchdb-manager,"",sha256:8f64b62bdf16f4ec0ac87703d9ad90d1e8ecb3d8d8773cfacad53fa2d5ec66e1,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/couchdb-manager,"",sha256:b1ad01a03c8b7814b991d2218cb355be7829f11953a99e21468fe27bb2b1cd5a,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/couchdb3,"",sha256:114e96e3dddeacf533637f17296511d13c07c113e1c356c54a68b6fdb3e66892,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/couchdb3,"",sha256:747ea253060a8c3f314d98d523abb051ada8f08aafc713566d982882c554bc52,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/datalayer-cem-service,"",sha256:8b277cfcb94879e05f5ceef8b1fc2a133ac35fd8ced18d9e9f2637344c017f53,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/datalayer-cem-service,"",sha256:a8413ad45ea38b591024fb405372da9b2f10f5bb3ea5834b5c610b5417fd6919,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/elastic-archiving-service,"",sha256:a3018a48dfc1b1d5bc2302b4b5fffc74e50d3229d3289a72f271b24baaf3c4dd,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/elastic-archiving-service,"",sha256:bb2ba317b4bfbce3163ddbccf48c13a6c9d3aeeb234721eab9aee2feaf1a1355,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-cem-users,"",sha256:a0219c63303852ab3769f27f6610b43e5b9833b6d54f56611d8e0b1785ef6c71,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-cem-users,"",sha256:a1fc3f85299217e5ae1f03a9212ec5ace0a5ebbb82ae4f8b63ffa037fbb9d640,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-icp-rba-as,"",sha256:df5e558bca8c21b7fca45f311a1d9345267156c7d4bdb982ee602b44bea58efc,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-icp-rba-as,"",sha256:fcbf33a2bc8007b7af854b6a1e34da1e8d8350bd3d6ed29dfa16d109d04a8414,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-icp-rba-rbs,"",sha256:27f0bc631007aaa3277df7489448e33d7cac2fec6f6a51259aa8f6ee83f591f0,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/hdm-icp-rba-rbs,"",sha256:67d86b042304f7372f068b7c85dd9c65f92572419d70405e31b8c37075365c91,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/http-wait-initcontainer,"",sha256:8e4efbadf8c9da3d1bfe711683099072be4f103f3e667678ac2c97c19917b1ca,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/http-wait-initcontainer,"",sha256:ee6d1df2877445fb9ace9fbf57f2049492d7c24b7366dd88e7c254d00ec8b58b,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ir-api,"",sha256:59f7360f42c05d9fd4d3de78daf763afea373ec7bec61d68c547a7d40093984c,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/ir-api,"",sha256:bba2d3d54fd60f2d24aea42c827e0f0f1c21ac7e44d775bc9bddee73b7b54943,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/netcool-nco-g-objserv-bi-ee,"",sha256:3cf18254701ae418d4f6b907cb29a6dcfb5e4485f52396e7a79e44bcd6c4fbca,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/netcool-nco-g-objserv-bi-ee,"",sha256:eeac52abfd7ac6a3ecfcb35d7c049660b4356b30d04ff2618d0670354f02e25c,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/netcool-nco-objserv-ee,"",sha256:a8805c9329557053d7f17fde08118236708bdfafeb3f9acefe613de0e12db65c,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/netcool-nco-objserv-ee,"",sha256:ae46c0bb8d7e9297be366f8bd2bd4a820236eaf0f864c4f1b362a254dcb5ae79,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/noi-postgres-repl-manager,"",sha256:57d3dd0286b64f7f0bff832491fe35965bbadad57253d95d737229e0029d7f26,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/noi-postgres-repl-manager,"",sha256:e9fea135f361c156ac3f74beb759910370231ba9f83ff5efe2733bd0ccfea709,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/noi-postgres-repl,"",sha256:3f89f799b4129bf2fd1e7553691890325da32481ea21a7d2f8f848cb4ba51eb8,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/noi-postgres-repl,"",sha256:7387d184f035619bb7bed4b2732f06558fe1ba65167a6a5ae09a8d354df46752,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/opa,"",sha256:a96067af8035f96f92258533f83c4df4ac6004df60d059aedc3c1726db198f1f,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4waiops/opa,"",sha256:ff5f8c46b3cc9df6d132bea46e3f36a48ab8130b8ffa4a29077a26c349d665ab,"","","","",0,CASE,"",""
