registry,image_name,tag,digest,mtype,os,arch,variant,insecure,digest_source,image_type,groups
cp.icr.io,cp/cp4a/ban/navigator-sso,"",sha256:02a3dd01b534cfa764ec623ac77a56b9a10ae897ad74a43820b71737fec570ef,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ban/navigator-sso,"",sha256:4d66109ae690a7f4a001cdcde71ac24f85432121882d6cebf1733b4ad65b67e0,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ban/navigator-sso,"",sha256:5328c9f7d2f4eef5c05d04e5fabd9a30f8e001eaee0531f81f2905fe3090fa8f,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ban/navigator-sso,"",sha256:7dbacea4fa9c0343e77bc90b5b0967ef816a74a9ff0460d8fe9e3fec58743fc2,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ban/navigator-sso,"",sha256:bb2756809dbd9acaf43a2fdb600ff4efbc4393e0520469dac19c97d1d68adc4a,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ban/navigator,"",sha256:2e6f27cba4a669e5b01ea76a2188328fd5ea5c57bb8f11c9a80fb05fbc1c295b,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ban/navigator,"",sha256:30963ee23c0d23ef6698a8f7e9a1f321e57b1c2c9486dd29507b65b17387a3c5,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ban/navigator,"",sha256:361ca711c6ddb151e2b5e113e0baeaf6f34b656e2abdd9c4c944661327177285,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ban/navigator,"",sha256:3c2fd5aaa474eaae58c3c29d17052af964e9cfef873489f2e5c2c8013d54bc99,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/ban/navigator,"",sha256:89db7255587e150725b72ac557c55e8d2078aeee2d494f64c65c27dbad2d3932,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/common/dba-keytool-initcontainer,"",sha256:0a661444fee82d1f0297a085d26aadd81ec06b1fbeabfe5575e08574e29ab389,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/common/dba-keytool-initcontainer,"",sha256:72e66c56e7345408f60716118550d8a4067877b4eaf7b1f54c83930ff6cf7b40,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/common/dba-keytool-initcontainer,"",sha256:f32194f73f15eb8193931cf9410ea53eaef588168d23f1c12e92a63162859429,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cmis,"",sha256:296fd44f255c94552e481992af4906de61c6ccf898908f890893a15a0e21f797,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cmis,"",sha256:2b66a00030ff54ef3c637e86610700f76fb227f77cc95a3bc5ca8277d26c45a4,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cmis,"",sha256:559ace7b1ee44f6399f6ec55b2ca02d90b992734e93c637e28f6b2bf7bc58071,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cmis,"",sha256:af92dc21749f7dde649d674b340f692b001ad3f1b4cac5a8166f94d71666d59b,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cmis,"",sha256:cdfda84619f2ded4d5309e812aced5fe5757a6448155017854def56584d634d4,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe-sso,"",sha256:53cc44122ac959fe20fb876116613569d6dc4d520699e6d33b3293fc9eb95d09,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe-sso,"",sha256:7b41e9651fac8c1e87bc041e79e1a781669cee53ea01abf6d4969556f263ae0d,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe-sso,"",sha256:a2617625a0a58ae78a63024355fc2dff098800e62a5c141838c96936c4595bc7,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe-sso,"",sha256:b24d4fbbd7a71395b17b5df41d1783cc5c8398fe2f8d733eef41980f43d0dc81,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe-sso,"",sha256:ce06dd7e0d81b92e1b65d0ef3fa189d7cce0a0ecbb0f835ab6bf106599a6a66a,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe-sso,"",sha256:e1016e1cb271f15608b4d665f9f27d881f52bede1c0b02a692c38aab0262afee,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe,"",sha256:027e27515072bf51d35ec589e47fc4509f42b519bde3108f534a61e32edfdcb6,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe,"",sha256:22d68c86a6aad449815135b05ed76aeda134ceb946857cc3fcad1aabe9a6e97b,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe,"",sha256:70d98b98e75a127fe5f9cb83bc904282aa8e4712041d27a6bbfe7ca8c9014fff,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe,"",sha256:a25b55f4fb463ce3e45f60f8ab6d39fd76673f6dfdd110664947ca7349dbfe84,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe,"",sha256:f3d74bdc8f6038539ea28f736eba997c03c19614551a6e1b6ce74bd4053ff79c,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/cpe,"",sha256:ffd572f1ae1fd5ab7795844c684e728cfff336526b6a5f39cfda48665435eb6b,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/css,"",sha256:072330ad38659e84070ff29d01e18b7911f72964f7c12c0a85ee876c3f457e7a,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/css,"",sha256:227cfa88f89134723abc5cb6cd9032fd44f7d6371a3eb3904e0917be4f63437c,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/css,"",sha256:325e1c1b7fc94cbb027b9274a5e863ded824f6ea196ead99ee7a90b9192aa6c7,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/css,"",sha256:39969ab8eed4baead4c0e60aa47f5a8af5a6d6667e0339b8571003a05896d6fb,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/css,"",sha256:436dc74e761e5482b33cc417bf84b0b0abd5c98d29673254f366bf9eff1a0ca7,"","","","",0,CASE,"",""
cp.icr.io,cp/cp4a/fncm/css,"",sha256:47b87e81068519a479fde48cbd2208f4ca18b2546fd71dfe2205901e73f00208,"","","","",0,CASE,"",""
